ConditionName,Fatalities,CountryISO,Admin1Name,CityName,PeriodStartDate,PeriodEndDate,CountValue,
Mumps,0,US,NEW YORK,NA,12/24/17,12/30/17,3,6
Mumps,0,US,COLORADO,NA,12/24/17,12/30/17,1,6
Mumps,0,US,FLORIDA,NA,12/24/17,12/30/17,4,6
Mumps,0,US,OREGON,NA,12/24/17,12/30/17,1,6
Mumps,0,US,WASHINGTON,NA,12/17/17,12/23/17,5,6
Mumps,0,US,NEW YORK,NA,12/17/17,12/23/17,3,6
Mumps,0,US,FLORIDA,NA,12/17/17,12/23/17,6,6
Mumps,0,US,TEXAS,NA,12/17/17,12/23/17,1,6
Mumps,0,US,MISSOURI,NA,12/17/17,12/23/17,1,6
Mumps,0,US,WASHINGTON,NA,12/10/17,12/16/17,2,6
Mumps,0,US,NEW YORK,NA,12/10/17,12/16/17,10,6
Mumps,0,US,OKLAHOMA,NA,12/10/17,12/16/17,2,6
Mumps,0,US,FLORIDA,NA,12/10/17,12/16/17,3,6
Mumps,0,US,HAWAII,NA,12/10/17,12/16/17,1,6
Mumps,0,US,OHIO,NA,12/3/17,12/9/17,3,6
Mumps,0,US,NEW YORK,NA,12/3/17,12/9/17,25,6
Mumps,0,US,MASSACHUSETTS,NA,12/3/17,12/9/17,1,6
Mumps,0,US,FLORIDA,NA,12/3/17,12/9/17,2,6
Mumps,0,US,HAWAII,NA,12/3/17,12/9/17,1,6
Mumps,0,US,OHIO,NA,11/26/17,12/2/17,1,6
Mumps,0,US,WASHINGTON,NA,11/26/17,12/2/17,1,6
Mumps,0,US,NEW YORK,NA,11/26/17,12/2/17,1,6
Mumps,0,US,VIRGINIA,NA,11/26/17,12/2/17,1,6
Mumps,0,US,FLORIDA,NA,11/26/17,12/2/17,1,6
Mumps,0,US,OREGON,NA,11/26/17,12/2/17,1,6
Mumps,0,US,NEW YORK,NA,11/19/17,11/25/17,11,6
Mumps,0,US,GEORGIA,NA,11/19/17,11/25/17,1,6
Mumps,0,US,TENNESSEE,NA,11/19/17,11/25/17,1,6
Mumps,0,US,FLORIDA,NA,11/19/17,11/25/17,3,6
Mumps,0,US,NEW YORK,NA,11/12/17,11/18/17,3,6
Mumps,0,US,OKLAHOMA,NA,11/12/17,11/18/17,2,6
Mumps,0,US,NEW YORK,NA,11/5/17,11/11/17,5,6
Mumps,0,US,MASSACHUSETTS,NA,11/5/17,11/11/17,1,6
Mumps,0,US,ALASKA,NA,11/5/17,11/11/17,1,6
Mumps,0,US,FLORIDA,NA,11/5/17,11/11/17,1,6
Mumps,0,US,TEXAS,NA,11/5/17,11/11/17,2,6
Mumps,0,US,HAWAII,NA,11/5/17,11/11/17,1,6
Mumps,0,US,WASHINGTON,NA,10/29/17,11/4/17,5,6
Mumps,0,US,NEW YORK,NA,10/29/17,11/4/17,13,6
Mumps,0,US,RHODE ISLAND,NA,10/29/17,11/4/17,1,6
Mumps,0,US,ALASKA,NA,10/29/17,11/4/17,1,6
Mumps,0,US,FLORIDA,NA,10/29/17,11/4/17,1,6
