ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1889-09-29,1889-10-05,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-09-05,1897-09-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,1
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-09-12,1897-09-18,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-09-19,1897-09-25,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,14
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-09-26,1897-10-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,17
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-10-03,1897-10-09,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,22
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-10-10,1897-10-16,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,34
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-10-17,1897-10-23,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,35
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-10-24,1897-10-30,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,54
Yellow fever,16541001,Yellow fever virus,11089,1,UNITED STATES OF AMERICA,US,LOUISIANA,US-LA,ORLEANS PARISH,NEW ORLEANS,1897-10-31,1897-11-06,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,51
